Nu,Heb,Tr,Disc
1,א,Aleph,"Ox, Leader, Strength"
2,ב,Bet,"House, Family, In"
3,ג,Gimel,"Camel, To lift up"
4,ד,Dalet,"Door, Pathway"
5,ה,He,"Behold, Reveal, Window"
6,ו,Vav,"Hook, Nail, And"
7,ז,Zayin,"Weapon, Cut, Nourish"
8,ח,Chet,"Fence, Life, Inner Room"
9,ט,Tet,"Basket, Surround, Good"
10,י,Yod,"Hand, Work, Deed"
11,כ,Kaf,"Palm, Open, Allow"
12,ל,Lamed,"Staff, Teach, Learn"
13,מ,Mem,"Water, Chaos, Mighty"
14,נ,Nun,"Seed, Continue, Heir"
15,ס,Samekh,"Support, Prop, Turn"
16,ע,Ayin,"Eye, Watch, Know"
17,פ,Pe,"Mouth, Speak, Edge"
18,צ,Tsade,"Fishhook, Righteous"
19,ק,Qof,"Back of head, Circle"
20,ר,Resh,"Head, First, Top"
21,ש,Shin,"Tooth, Consume, Fire"
22,ת,Tav,"Mark, Sign, Covenant"
